C203	BOGLE	Apr 08, 2016 13:34:55 PM
C205	BOGLE	Apr 08, 2016 13:35:10 PM
083	LITTLE	Apr 08, 2016 13:35:57 PM
245	BLOOMBERG	Apr 08, 2016 14:08:39 PM
243	BLOOMBERG	Apr 08, 2016 14:09:10 PM
E208	WILF	Apr 08, 2016 14:50:00 PM
E206	WILF	Apr 08, 2016 14:50:01 PM
473	BLOOMBERG	Apr 08, 2016 14:55:19 PM
433	JOLINE	Apr 08, 2016 15:51:27 PM
471	BLOOMBERG	Apr 11, 2016 09:21:54 AM
E201	WILF	Apr 11, 2016 09:25:00 AM
422	JOLINE	Apr 11, 2016 09:29:24 AM
332	JOLINE	Apr 11, 2016 09:29:38 AM
281	BLOOMBERG	Apr 11, 2016 09:33:09 AM
S205	BAKER	Apr 11, 2016 09:33:44 AM
502	EDWARDS	Apr 11, 2016 09:36:46 AM
B205	1967	Apr 11, 2016 09:40:39 AM
F017	1981	Apr 11, 2016 09:41:43 AM
F025	1981	Apr 11, 2016 09:41:43 AM
F102	1981	Apr 11, 2016 09:41:44 AM
311	LITTLE	Apr 11, 2016 09:42:05 AM
F019	1981	Apr 11, 2016 09:42:13 AM
F015	1981	Apr 11, 2016 09:42:59 AM
F027	1981	Apr 11, 2016 09:43:00 AM
E104	WILF	Apr 11, 2016 09:43:52 AM
348	BLOOMBERG	Apr 11, 2016 09:46:15 AM
212	JOLINE	Apr 11, 2016 09:46:54 AM
G309	HARGADON	Apr 11, 2016 09:49:20 AM
B305	1967	Apr 11, 2016 09:50:30 AM
104	EDWARDS	Apr 11, 2016 09:55:28 AM
250	BLOOMBERG	Apr 11, 2016 09:56:39 AM
213	JOLINE	Apr 11, 2016 09:58:49 AM
F023	1981	Apr 11, 2016 10:01:14 AM
308	BLOOMBERG	Apr 11, 2016 10:07:40 AM
T403	MURLEY	Apr 11, 2016 10:08:36 AM
109	EDWARDS	Apr 11, 2016 10:09:15 AM
112	BLOOMBERG	Apr 11, 2016 10:14:29 AM
F101	1981	Apr 11, 2016 10:15:39 AM
113	EDWARDS	Apr 11, 2016 10:16:19 AM
108	EDWARDS	Apr 11, 2016 10:16:21 AM
613	1915	Apr 11, 2016 10:18:42 AM
B309	WENDELL	Apr 11, 2016 10:20:36 AM
302	BLOOMBERG	Apr 11, 2016 10:20:41 AM
C212	WENDELL	Apr 11, 2016 10:22:52 AM
C210	WENDELL	Apr 11, 2016 10:22:59 AM
B309	1967	Apr 11, 2016 10:24:02 AM
111	EDWARDS	Apr 11, 2016 10:28:50 AM
E106	WILF	Apr 11, 2016 10:29:07 AM
C208	WENDELL	Apr 11, 2016 10:30:55 AM
301	BLOOMBERG	Apr 11, 2016 10:33:31 AM
310	BLOOMBERG	Apr 11, 2016 10:35:55 AM
322	BLOOMBERG	Apr 11, 2016 10:39:49 AM
A207	YOSELOFF	Apr 11, 2016 10:39:51 AM
G401	HARGADON	Apr 11, 2016 10:40:08 AM
B216	WENDELL	Apr 11, 2016 10:44:12 AM
311	JOLINE	Apr 11, 2016 10:45:01 AM
324	HAMILTON	Apr 11, 2016 10:45:13 AM
E107	WILF	Apr 11, 2016 10:46:18 AM
403	BLOOMBERG	Apr 11, 2016 10:47:21 AM
B210	WENDELL	Apr 11, 2016 10:54:25 AM
G403	HARGADON	Apr 11, 2016 10:59:15 AM
114	BLAIR	Apr 11, 2016 10:59:26 AM
G404	HARGADON	Apr 11, 2016 10:59:27 AM
340	BLOOMBERG	Apr 11, 2016 11:00:34 AM
341	BLOOMBERG	Apr 11, 2016 11:00:47 AM
